product_code,category,title,description,airline,airline_logo,departure_days,duration,price,master_code,product_no,list_url
EPP3852,패키지 > 서울/인천출발 > 유럽,"[푸른하늘 아래, 신비한 그곳] 이탈리아 남부와 시칠리아 9일",에트나화산/알베로벨로/포지타노,아시아나항공,/images/air_logo/air_OZ01.gif,일 출발,여행기간 9일,"4,977,000",EPP3852,EPP3852-250302,https://www.verygoodtour.com/Product/PackageList?menuCode=101210101
EPP3823,패키지 > 서울/인천출발 > 유럽,"[노쇼핑,노옵션] 남프랑스일주 10일 #파리아울렛, 와이너리투어",니스/모나코/아를/카르카손&쉬농소,에미레이트항공 외 3개,/images/air_logo/air_EK01.gif,매일 출발,여행기간 9일 부터,"3,890,000",EPP3823,EPP3823-250311KLAF,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3822,패키지 > 서울/인천출발 > 유럽,[Romantic Paris] 파리와 노르망디 일주 7일,#일급호텔 #몽생미셸 #에트르타 #샤르트르,아시아나항공 외 3개,/images/air_logo/air_OZ01.gif,"일, 월, 화, 수, 금, 토 출발",여행기간 7일 부터,"2,347,000",EPP3822,EPP3822-250305OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3848,패키지 > 서울/인천출발 > 유럽,[1DAY FULL 자유일정 포함] 파리와 노르망디 일주 8일,파리에서의 자유일정까지 꽉 채운 파리와 근교 일주,티웨이항공,/images/air_logo/air_TW01.gif,"일, 토 출발",여행기간 8일,"2,247,000",EPP3848,EPP3848-250309TW,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3049,패키지 > 서울/인천출발 > 유럽,[클래식한] 영국+아일랜드+스코틀랜드 9일/10일 # 노쇼핑 #노옵션,월드체인 호텔 2박 /  애프터 눈 TEA 체험,아시아나항공 외 2개,/images/air_logo/air_OZ01.gif,"일, 화, 수, 목, 금, 토 출발",여행기간 9일 부터,"3,877,000",EPP3049,EPP3049-250221OZ9,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3116,패키지 > 서울/인천출발 > 유럽,북부 노르망디에서 남부 프로방스 코트다쥐르까지! 프랑스완전일주 11일,무스티에생뜨마리/에트르타/몽생미셸,대한항공,/images/air_logo/air_KE01.gif,"월, 수 출발",여행기간 11일,"4,979,000",EPP3116,EPP3116-250312CM11,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3040,패키지 > 서울/인천출발 > 유럽,●25 EPL 경기관람● 참좋은단독! 리버풀+맨시티 스타디움 관광 포함 7일,EPL 경기관람포함(25년 5월까지),아시아나항공,/images/air_logo/air_OZ01.gif,수 출발,여행기간 7일,"4,077,000",EPP3040,EPP3040-250604OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3048,패키지 > 서울/인천출발 > 유럽,[GREAT 브리튼]  영국 7일 # 런던근교 # 자유일정 #아울렛,스톤헨지 / 세븐시스터즈 / 애프터눈 TEA,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,수 출발,여행기간 7일,"3,279,000",EPP3048,EPP3048-250305KE,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3196,패키지 > 서울/인천출발 > 유럽,[스코틀랜드 한바퀴] 스코틀랜드 8일 #스카이섬 #네스호 #위스키투어 #에딘버러,스카이섬 & 하일랜드 스코틀랜드 완벽 일주,KLM 항공,/images/air_logo/air_KL01.gif,"수, 목 출발",여행기간 8일,"5,590,000",EPP3196,EPP3196-250306KLM,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3827,패키지 > 서울/인천출발 > 유럽,[예술과 함께하는 여행] 남프랑스 일주 8일＃아트투어(샤갈/피카소미술관),니스/아를/생레미드프로방스/아울렛,카타르항공,/images/air_logo/air_QR01.gif,목 출발,여행기간 8일,"3,790,000",EPP3827,EPP3827-250227QR,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3280,패키지 > 서울/인천출발 > 유럽,[맘앤키즈 인 파리] 아이의 시선으로 바라본 파리 7일  #박물관소그룹투어 #4성급호텔,믿을만한 여행사에서 만든 초등학생과 엄마 눈높이에 맞춘 여행,아시아나항공,/images/air_logo/air_OZ01.gif,수 출발,여행기간 7일,"5,277,000",EPP3280,EPP3280-250305OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210102
EPP3599,패키지 > 서울/인천출발 > 유럽,[깊고 진하게 즐기는] 이탈리아 +스위스 2개국 9일  # 융프라우 / 체르마트,A380 기종/스위스 산악열차/스위스 2박,에미레이트항공 외 1개,/images/air_logo/air_EK01.gif,"화, 수, 금 출발",여행기간 9일,"2,490,000",EPP3599,EPP3599-250319EY2,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3097,패키지 > 서울/인천출발 > 유럽,[깊이있고 여유있게] 영국+프랑스 9일 # 전일정 일급호텔,일급호텔/몽생미셸/런던근교/아울렛,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 수, 목, 금, 토 출발",여행기간 9일,"3,090,000",EPP3097,EPP3097-250314TK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP310,패키지 > 서울/인천출발 > 유럽,[두 나라만 여유있게] 네덜란드 X 벨기에 2국 7일 #반고흐미술관,도시별 자유시간 / 루르몬트 아울렛,대한항공 외 1개,/images/air_logo/air_KE01.gif,"목, 금 출발",여행기간 7일,"2,979,000",EPP310,EPP310-250220,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
